,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3569,11010M,종로구,"전문, 과학 및 기술 서비스업(70~73)",1553.0,21766.0,830.0,33.0,20330.0,487.0,86.0
5573,11020M,중구,"전문, 과학 및 기술 서비스업(70~73)",2752.0,36078.0,1759.0,67.0,33194.0,931.0,127.0
7577,11030M,용산구,"전문, 과학 및 기술 서비스업(70~73)",833.0,15387.0,439.0,8.0,14357.0,569.0,14.0
9581,11040M,성동구,"전문, 과학 및 기술 서비스업(70~73)",1447.0,14631.0,667.0,19.0,12571.0,981.0,393.0
11585,11050M,광진구,"전문, 과학 및 기술 서비스업(70~73)",798.0,4811.0,475.0,24.0,4004.0,220.0,88.0
13589,11060M,동대문구,"전문, 과학 및 기술 서비스업(70~73)",630.0,7073.0,393.0,17.0,6243.0,363.0,57.0
15593,11070M,중랑구,"전문, 과학 및 기술 서비스업(70~73)",336.0,1643.0,224.0,18.0,1253.0,133.0,15.0
17597,11080M,성북구,"전문, 과학 및 기술 서비스업(70~73)",478.0,4328.0,289.0,15.0,3598.0,372.0,54.0
19601,11090M,강북구,"전문, 과학 및 기술 서비스업(70~73)",293.0,1185.0,226.0,10.0,821.0,66.0,62.0
21605,11100M,도봉구,"전문, 과학 및 기술 서비스업(70~73)",347.0,1773.0,273.0,11.0,1355.0,129.0,5.0
23609,11110M,노원구,"전문, 과학 및 기술 서비스업(70~73)",438.0,3259.0,277.0,21.0,2591.0,314.0,56.0
25613,11120M,은평구,"전문, 과학 및 기술 서비스업(70~73)",369.0,1710.0,274.0,18.0,1171.0,232.0,15.0
27617,11130M,서대문구,"전문, 과학 및 기술 서비스업(70~73)",632.0,6113.0,389.0,13.0,4721.0,923.0,67.0
29621,11140M,마포구,"전문, 과학 및 기술 서비스업(70~73)",2632.0,20741.0,1317.0,31.0,18124.0,909.0,360.0
31625,11150M,양천구,"전문, 과학 및 기술 서비스업(70~73)",736.0,3232.0,530.0,17.0,2400.0,229.0,56.0
33629,11160M,강서구,"전문, 과학 및 기술 서비스업(70~73)",1256.0,23116.0,628.0,14.0,21867.0,430.0,177.0
35633,11170M,구로구,"전문, 과학 및 기술 서비스업(70~73)",1567.0,15674.0,747.0,17.0,14130.0,491.0,289.0
37637,11180M,금천구,"전문, 과학 및 기술 서비스업(70~73)",2186.0,27977.0,846.0,16.0,25581.0,1179.0,355.0
39641,11190M,영등포구,"전문, 과학 및 기술 서비스업(70~73)",2393.0,32357.0,1037.0,35.0,29872.0,1137.0,276.0
41645,11200M,동작구,"전문, 과학 및 기술 서비스업(70~73)",428.0,6067.0,256.0,14.0,5024.0,654.0,119.0
43649,11210M,관악구,"전문, 과학 및 기술 서비스업(70~73)",606.0,4578.0,354.0,15.0,3991.0,157.0,61.0
45653,11220M,서초구,"전문, 과학 및 기술 서비스업(70~73)",6713.0,67657.0,3514.0,35.0,61688.0,1629.0,791.0
47657,11230M,강남구,"전문, 과학 및 기술 서비스업(70~73)",9090.0,107675.0,3638.0,46.0,99662.0,3202.0,1127.0
49661,11240M,송파구,"전문, 과학 및 기술 서비스업(70~73)",2488.0,27676.0,1168.0,33.0,25078.0,1352.0,45.0
51665,11250M,강동구,"전문, 과학 및 기술 서비스업(70~73)",653.0,7012.0,392.0,23.0,6309.0,259.0,29.0
1565,11M,서울특별시,"전문, 과학 및 기술 서비스업(70~73)",41654.0,463519.0,20942.0,570.0,419935.0,17348.0,4724.0
3569,21010M,중구,"전문, 과학 및 기술 서비스업(70~73)",347.0,2270.0,270.0,15.0,1925.0,59.0,1.0
5573,21020M,서구,"전문, 과학 및 기술 서비스업(70~73)",128.0,508.0,88.0,9.0,381.0,26.0,4.0
7577,21030M,동구,"전문, 과학 및 기술 서비스업(70~73)",447.0,3339.0,232.0,8.0,2879.0,177.0,43.0
9581,21040M,영도구,"전문, 과학 및 기술 서비스업(70~73)",108.0,1615.0,56.0,4.0,1459.0,96.0,0.0
11585,21050M,부산진구,"전문, 과학 및 기술 서비스업(70~73)",915.0,5866.0,623.0,26.0,4718.0,362.0,137.0
13589,21060M,동래구,"전문, 과학 및 기술 서비스업(70~73)",405.0,2761.0,271.0,11.0,2370.0,97.0,12.0
15593,21070M,남구,"전문, 과학 및 기술 서비스업(70~73)",387.0,1890.0,237.0,16.0,1526.0,95.0,16.0
17597,21080M,북구,"전문, 과학 및 기술 서비스업(70~73)",181.0,1100.0,127.0,6.0,901.0,63.0,3.0
19601,21090M,해운대구,"전문, 과학 및 기술 서비스업(70~73)",1211.0,8061.0,590.0,14.0,6956.0,319.0,182.0
21605,21100M,사하구,"전문, 과학 및 기술 서비스업(70~73)",269.0,1780.0,160.0,11.0,1538.0,69.0,2.0
23609,21110M,금정구,"전문, 과학 및 기술 서비스업(70~73)",485.0,3090.0,256.0,14.0,2624.0,149.0,47.0
25613,21120M,강서구,"전문, 과학 및 기술 서비스업(70~73)",289.0,2686.0,166.0,15.0,2434.0,60.0,11.0
27617,21130M,연제구,"전문, 과학 및 기술 서비스업(70~73)",1181.0,6125.0,898.0,18.0,4867.0,316.0,26.0
29621,21140M,수영구,"전문, 과학 및 기술 서비스업(70~73)",346.0,1985.0,243.0,14.0,1617.0,111.0,0.0
31625,21150M,사상구,"전문, 과학 및 기술 서비스업(70~73)",490.0,2876.0,305.0,11.0,2412.0,147.0,1.0
33629,21310M,기장군,"전문, 과학 및 기술 서비스업(70~73)",130.0,533.0,89.0,7.0,414.0,21.0,2.0
1565,21M,부산광역시,"전문, 과학 및 기술 서비스업(70~73)",7319.0,46485.0,4611.0,199.0,39021.0,2167.0,487.0
3569,22010M,중구,"전문, 과학 및 기술 서비스업(70~73)",702.0,2877.0,520.0,35.0,2069.0,167.0,86.0
5573,22020M,동구,"전문, 과학 및 기술 서비스업(70~73)",637.0,4787.0,407.0,21.0,4078.0,219.0,62.0
7577,22030M,서구,"전문, 과학 및 기술 서비스업(70~73)",236.0,1439.0,171.0,13.0,1190.0,40.0,25.0
9581,22040M,남구,"전문, 과학 및 기술 서비스업(70~73)",511.0,2367.0,387.0,19.0,1684.0,157.0,120.0
11585,22050M,북구,"전문, 과학 및 기술 서비스업(70~73)",608.0,3423.0,345.0,30.0,2782.0,251.0,15.0
13589,22060M,수성구,"전문, 과학 및 기술 서비스업(70~73)",1102.0,5950.0,889.0,24.0,4741.0,276.0,20.0
15593,22070M,달서구,"전문, 과학 및 기술 서비스업(70~73)",891.0,5124.0,591.0,31.0,4065.0,419.0,18.0
17597,22310M,달성군,"전문, 과학 및 기술 서비스업(70~73)",152.0,1043.0,104.0,4.0,901.0,22.0,12.0
1565,22M,대구광역시,"전문, 과학 및 기술 서비스업(70~73)",4839.0,27010.0,3414.0,177.0,21510.0,1551.0,358.0
3569,23010M,중구,"전문, 과학 및 기술 서비스업(70~73)",165.0,1350.0,105.0,5.0,1213.0,24.0,3.0
5573,23020M,동구,"전문, 과학 및 기술 서비스업(70~73)",102.0,349.0,76.0,2.0,257.0,14.0,0.0
7577,23040M,연수구,"전문, 과학 및 기술 서비스업(70~73)",522.0,7496.0,240.0,6.0,6705.0,511.0,34.0
9581,23050M,남동구,"전문, 과학 및 기술 서비스업(70~73)",881.0,5767.0,537.0,27.0,4853.0,245.0,105.0
11585,23060M,부평구,"전문, 과학 및 기술 서비스업(70~73)",517.0,3420.0,353.0,21.0,2833.0,193.0,20.0
13589,23070M,계양구,"전문, 과학 및 기술 서비스업(70~73)",372.0,1793.0,267.0,16.0,1371.0,133.0,6.0
15593,23080M,서구,"전문, 과학 및 기술 서비스업(70~73)",410.0,5334.0,274.0,14.0,4922.0,117.0,7.0
17597,23090M,미추홀구,"전문, 과학 및 기술 서비스업(70~73)",795.0,4782.0,579.0,17.0,3832.0,245.0,109.0
19601,23310M,강화군,"전문, 과학 및 기술 서비스업(70~73)",69.0,246.0,59.0,4.0,176.0,7.0,0.0
21605,23320M,옹진군,"전문, 과학 및 기술 서비스업(70~73)",7.0,64.0,3.0,0.0,39.0,22.0,0.0
1565,23M,인천광역시,"전문, 과학 및 기술 서비스업(70~73)",3840.0,30601.0,2493.0,112.0,26201.0,1511.0,284.0
3569,24010M,동구,"전문, 과학 및 기술 서비스업(70~73)",804.0,4065.0,617.0,29.0,3019.0,332.0,68.0
5573,24020M,서구,"전문, 과학 및 기술 서비스업(70~73)",938.0,6128.0,561.0,23.0,5208.0,286.0,50.0
7577,24030M,남구,"전문, 과학 및 기술 서비스업(70~73)",288.0,1344.0,210.0,27.0,1035.0,58.0,14.0
9581,24040M,북구,"전문, 과학 및 기술 서비스업(70~73)",779.0,5212.0,448.0,44.0,3643.0,1027.0,50.0
11585,24050M,광산구,"전문, 과학 및 기술 서비스업(70~73)",429.0,2500.0,279.0,30.0,1923.0,243.0,25.0
1565,24M,광주광역시,"전문, 과학 및 기술 서비스업(70~73)",3238.0,19249.0,2115.0,153.0,14828.0,1946.0,207.0
3569,25010M,동구,"전문, 과학 및 기술 서비스업(70~73)",220.0,1608.0,147.0,17.0,1312.0,129.0,3.0
5573,25020M,중구,"전문, 과학 및 기술 서비스업(70~73)",400.0,2001.0,262.0,22.0,1438.0,152.0,127.0
7577,25030M,서구,"전문, 과학 및 기술 서비스업(70~73)",1366.0,7705.0,962.0,48.0,6265.0,356.0,74.0
9581,25040M,유성구,"전문, 과학 및 기술 서비스업(70~73)",1030.0,31874.0,350.0,15.0,30645.0,830.0,34.0
11585,25050M,대덕구,"전문, 과학 및 기술 서비스업(70~73)",185.0,1544.0,114.0,12.0,1385.0,33.0,0.0
1565,25M,대전광역시,"전문, 과학 및 기술 서비스업(70~73)",3201.0,44732.0,1835.0,114.0,41045.0,1500.0,238.0
3569,26010M,중구,"전문, 과학 및 기술 서비스업(70~73)",346.0,4308.0,224.0,20.0,3838.0,216.0,10.0
5573,26020M,남구,"전문, 과학 및 기술 서비스업(70~73)",1128.0,7250.0,822.0,43.0,5459.0,846.0,80.0
7577,26030M,동구,"전문, 과학 및 기술 서비스업(70~73)",85.0,2005.0,42.0,12.0,1935.0,12.0,4.0
9581,26040M,북구,"전문, 과학 및 기술 서비스업(70~73)",170.0,1308.0,104.0,6.0,1170.0,23.0,5.0
11585,26310M,울주군,"전문, 과학 및 기술 서비스업(70~73)",168.0,1342.0,88.0,5.0,1199.0,48.0,2.0
1565,26M,울산광역시,"전문, 과학 및 기술 서비스업(70~73)",1897.0,16213.0,1280.0,86.0,13601.0,1145.0,101.0
3569,29010M,세종특별자치시,"전문, 과학 및 기술 서비스업(70~73)",444.0,6130.0,254.0,17.0,5270.0,524.0,65.0
1565,29M,세종특별자치시,"전문, 과학 및 기술 서비스업(70~73)",444.0,6130.0,254.0,17.0,5270.0,524.0,65.0
3569,31010M,수원시,"전문, 과학 및 기술 서비스업(70~73)",2521.0,55753.0,1431.0,63.0,52784.0,1294.0,181.0
5573,31011M,장안구,"전문, 과학 및 기술 서비스업(70~73)",325.0,3322.0,149.0,15.0,2906.0,227.0,25.0
7577,31012M,권선구,"전문, 과학 및 기술 서비스업(70~73)",430.0,3335.0,240.0,14.0,2677.0,357.0,47.0
9581,31013M,팔달구,"전문, 과학 및 기술 서비스업(70~73)",605.0,3480.0,391.0,22.0,2770.0,244.0,53.0
11585,31014M,영통구,"전문, 과학 및 기술 서비스업(70~73)",1161.0,45616.0,651.0,12.0,44431.0,466.0,56.0
13589,31020M,성남시,"전문, 과학 및 기술 서비스업(70~73)",2618.0,39248.0,1192.0,40.0,36153.0,1788.0,75.0
15593,31021M,수정구,"전문, 과학 및 기술 서비스업(70~73)",408.0,2386.0,259.0,9.0,1874.0,233.0,11.0
17597,31022M,중원구,"전문, 과학 및 기술 서비스업(70~73)",534.0,5829.0,237.0,12.0,5361.0,210.0,9.0
19601,31023M,분당구,"전문, 과학 및 기술 서비스업(70~73)",1676.0,31033.0,696.0,19.0,28918.0,1345.0,55.0
21605,31030M,의정부시,"전문, 과학 및 기술 서비스업(70~73)",684.0,4280.0,497.0,20.0,3465.0,229.0,69.0
23609,31040M,안양시,"전문, 과학 및 기술 서비스업(70~73)",1967.0,24260.0,896.0,40.0,22028.0,1165.0,131.0
25613,31041M,만안구,"전문, 과학 및 기술 서비스업(70~73)",438.0,3052.0,250.0,21.0,2215.0,541.0,25.0
27617,31042M,동안구,"전문, 과학 및 기술 서비스업(70~73)",1529.0,21208.0,646.0,19.0,19813.0,624.0,106.0
29621,31050M,부천시,"전문, 과학 및 기술 서비스업(70~73)",1336.0,7505.0,931.0,33.0,6018.0,434.0,89.0
31625,31060M,광명시,"전문, 과학 및 기술 서비스업(70~73)",276.0,2171.0,181.0,12.0,1891.0,85.0,2.0
33629,31070M,평택시,"전문, 과학 및 기술 서비스업(70~73)",690.0,4371.0,488.0,13.0,3644.0,217.0,9.0
