,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3279,11010H,종로구,운수 및 창고업(49~52),1388.0,7260.0,1034.0,13.0,5074.0,766.0,373.0
5283,11020H,중구,운수 및 창고업(49~52),1547.0,14316.0,877.0,27.0,12187.0,788.0,437.0
7287,11030H,용산구,운수 및 창고업(49~52),1251.0,3918.0,1136.0,12.0,2407.0,213.0,150.0
9291,11040H,성동구,운수 및 창고업(49~52),2629.0,8653.0,2458.0,7.0,5140.0,531.0,517.0
11295,11050H,광진구,운수 및 창고업(49~52),2519.0,5828.0,2418.0,12.0,2797.0,249.0,352.0
13299,11060H,동대문구,운수 및 창고업(49~52),3617.0,6562.0,3524.0,16.0,2335.0,265.0,422.0
15303,11070H,중랑구,운수 및 창고업(49~52),6550.0,13092.0,6433.0,21.0,4869.0,705.0,1064.0
17307,11080H,성북구,운수 및 창고업(49~52),3080.0,6058.0,3030.0,11.0,2593.0,225.0,199.0
19311,11090H,강북구,운수 및 창고업(49~52),3218.0,6625.0,3160.0,6.0,2842.0,289.0,328.0
21315,11100H,도봉구,운수 및 창고업(49~52),5099.0,10030.0,5036.0,14.0,4284.0,88.0,608.0
23319,11110H,노원구,운수 및 창고업(49~52),6598.0,12573.0,6501.0,15.0,5660.0,235.0,162.0
25323,11120H,은평구,운수 및 창고업(49~52),5214.0,8898.0,5152.0,12.0,3491.0,156.0,87.0
27327,11130H,서대문구,운수 및 창고업(49~52),2903.0,5835.0,2811.0,8.0,2164.0,270.0,582.0
29331,11140H,마포구,운수 및 창고업(49~52),2987.0,12398.0,2366.0,19.0,8522.0,624.0,867.0
31335,11150H,양천구,운수 및 창고업(49~52),5053.0,12806.0,4830.0,27.0,5985.0,319.0,1645.0
33339,11160H,강서구,운수 및 창고업(49~52),7317.0,52138.0,6496.0,20.0,42531.0,1651.0,1440.0
35343,11170H,구로구,운수 및 창고업(49~52),4891.0,9160.0,4726.0,13.0,4007.0,277.0,137.0
37347,11180H,금천구,운수 및 창고업(49~52),2818.0,9064.0,2565.0,20.0,4443.0,1019.0,1017.0
39351,11190H,영등포구,운수 및 창고업(49~52),4164.0,11414.0,3731.0,21.0,6742.0,362.0,558.0
41355,11200H,동작구,운수 및 창고업(49~52),2136.0,3124.0,2086.0,13.0,664.0,267.0,94.0
43359,11210H,관악구,운수 및 창고업(49~52),4218.0,6515.0,4167.0,10.0,1693.0,79.0,566.0
45363,11220H,서초구,운수 및 창고업(49~52),1566.0,9020.0,1214.0,6.0,6628.0,299.0,873.0
47367,11230H,강남구,운수 및 창고업(49~52),3105.0,11236.0,2643.0,18.0,6887.0,741.0,947.0
