,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3768,11010P,종로구,교육 서비스업(85),850.0,13504.0,493.0,30.0,7647.0,3430.0,1904.0
5772,11020P,중구,교육 서비스업(85),471.0,8321.0,249.0,9.0,7303.0,469.0,291.0
7776,11030P,용산구,교육 서비스업(85),550.0,7452.0,371.0,15.0,5498.0,1330.0,238.0
9780,11040P,성동구,교육 서비스업(85),961.0,11371.0,719.0,49.0,7714.0,2274.0,615.0
11784,11050P,광진구,교육 서비스업(85),1183.0,14139.0,937.0,63.0,8730.0,3774.0,635.0
13788,11060P,동대문구,교육 서비스업(85),1000.0,16243.0,773.0,51.0,11869.0,2852.0,698.0
15792,11070P,중랑구,교육 서비스업(85),936.0,7773.0,786.0,73.0,5206.0,848.0,860.0
17796,11080P,성북구,교육 서비스업(85),1382.0,21481.0,1096.0,67.0,13960.0,4176.0,2182.0
19800,11090P,강북구,교육 서비스업(85),684.0,5871.0,572.0,45.0,4239.0,776.0,239.0
21804,11100P,도봉구,교육 서비스업(85),962.0,7537.0,795.0,59.0,5451.0,734.0,498.0
23808,11110P,노원구,교육 서비스업(85),1950.0,21138.0,1569.0,71.0,13832.0,3481.0,2185.0
25812,11120P,은평구,교육 서비스업(85),1469.0,10058.0,1260.0,75.0,7178.0,1036.0,509.0
27816,11130P,서대문구,교육 서비스업(85),1086.0,18651.0,814.0,49.0,10396.0,5915.0,1477.0
29820,11140P,마포구,교육 서비스업(85),1742.0,15637.0,1325.0,67.0,9926.0,2781.0,1538.0
31824,11150P,양천구,교육 서비스업(85),2376.0,14974.0,2006.0,96.0,8856.0,1852.0,2164.0
33828,11160P,강서구,교육 서비스업(85),1844.0,14257.0,1555.0,98.0,9127.0,1280.0,2197.0
35832,11170P,구로구,교육 서비스업(85),1231.0,10747.0,952.0,53.0,7860.0,1331.0,551.0
37836,11180P,금천구,교육 서비스업(85),702.0,6307.0,486.0,24.0,4496.0,659.0,642.0
39840,11190P,영등포구,교육 서비스업(85),1260.0,8754.0,950.0,54.0,6323.0,904.0,523.0
41844,11200P,동작구,교육 서비스업(85),1264.0,15755.0,987.0,46.0,9187.0,3595.0,1940.0
43848,11210P,관악구,교육 서비스업(85),1191.0,16210.0,953.0,67.0,10769.0,3630.0,791.0
45852,11220P,서초구,교육 서비스업(85),2615.0,21404.0,1887.0,53.0,14018.0,2563.0,2883.0
47856,11230P,강남구,교육 서비스업(85),3838.0,29182.0,2640.0,66.0,18734.0,2612.0,5130.0
49860,11240P,송파구,교육 서비스업(85),2340.0,18609.0,1900.0,77.0,12412.0,2189.0,2031.0
51864,11250P,강동구,교육 서비스업(85),1490.0,10844.0,1278.0,64.0,6617.0,991.0,1894.0
1764,11P,서울특별시,교육 서비스업(85),35377.0,346219.0,27353.0,1421.0,227348.0,55482.0,34615.0
3768,21010P,중구,교육 서비스업(85),185.0,1067.0,143.0,11.0,643.0,131.0,139.0
5772,21020P,서구,교육 서비스업(85),348.0,2984.0,282.0,19.0,2173.0,174.0,336.0
7776,21030P,동구,교육 서비스업(85),240.0,1910.0,174.0,17.0,1333.0,174.0,212.0
9780,21040P,영도구,교육 서비스업(85),311.0,4071.0,236.0,33.0,3119.0,656.0,27.0
11784,21050P,부산진구,교육 서비스업(85),1423.0,12865.0,1125.0,82.0,8392.0,2178.0,1088.0
13788,21060P,동래구,교육 서비스업(85),1254.0,7462.0,1096.0,74.0,4851.0,948.0,493.0
15792,21070P,남구,교육 서비스업(85),921.0,10966.0,778.0,71.0,7441.0,2014.0,662.0
17796,21080P,북구,교육 서비스업(85),985.0,7132.0,853.0,66.0,4707.0,895.0,611.0
19800,21090P,해운대구,교육 서비스업(85),1812.0,11680.0,1577.0,90.0,7075.0,1891.0,1047.0
21804,21100P,사하구,교육 서비스업(85),1078.0,8623.0,945.0,87.0,5917.0,1360.0,314.0
