,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2105,11010C,종로구,제조업(10~34),4437.0,13071.0,4168.0,1061.0,5381.0,1882.0,579.0
4109,11020C,중구,제조업(10~34),9369.0,29402.0,8532.0,2429.0,13851.0,4000.0,590.0
6113,11030C,용산구,제조업(10~34),964.0,3181.0,847.0,237.0,1468.0,600.0,29.0
8117,11040C,성동구,제조업(10~34),4444.0,27062.0,3376.0,726.0,19118.0,2869.0,973.0
10121,11050C,광진구,제조업(10~34),1707.0,7198.0,1459.0,539.0,3569.0,1353.0,278.0
12125,11060C,동대문구,제조업(10~34),3297.0,13543.0,2873.0,1058.0,6235.0,2745.0,632.0
14129,11070C,중랑구,제조업(10~34),3384.0,15250.0,3147.0,1629.0,4551.0,5449.0,474.0
16133,11080C,성북구,제조업(10~34),2214.0,8140.0,2086.0,884.0,2317.0,2753.0,100.0
18137,11090C,강북구,제조업(10~34),1444.0,5903.0,1372.0,555.0,1793.0,2013.0,170.0
20141,11100C,도봉구,제조업(10~34),1020.0,4137.0,949.0,395.0,1738.0,1009.0,46.0
22145,11110C,노원구,제조업(10~34),858.0,3720.0,709.0,231.0,2210.0,542.0,28.0
24149,11120C,은평구,제조업(10~34),899.0,3041.0,795.0,246.0,1451.0,490.0,59.0
26153,11130C,서대문구,제조업(10~34),686.0,2494.0,610.0,204.0,1202.0,342.0,136.0
28157,11140C,마포구,제조업(10~34),1317.0,5350.0,1047.0,316.0,3157.0,722.0,108.0
30161,11150C,양천구,제조업(10~34),1150.0,4926.0,986.0,368.0,2518.0,762.0,292.0
32165,11160C,강서구,제조업(10~34),1257.0,7311.0,911.0,265.0,5337.0,627.0,171.0
34169,11170C,구로구,제조업(10~34),3677.0,17612.0,2751.0,391.0,13067.0,1328.0,75.0
36173,11180C,금천구,제조업(10~34),5399.0,40430.0,3337.0,589.0,32102.0,3539.0,863.0
38177,11190C,영등포구,제조업(10~34),3957.0,13577.0,3393.0,446.0,8486.0,1212.0,40.0
40181,11200C,동작구,제조업(10~34),614.0,2059.0,553.0,213.0,1030.0,252.0,11.0
42185,11210C,관악구,제조업(10~34),1255.0,4975.0,1135.0,402.0,1892.0,1245.0,301.0
44189,11220C,서초구,제조업(10~34),1075.0,5431.0,647.0,105.0,4425.0,227.0,27.0
46193,11230C,강남구,제조업(10~34),1626.0,14296.0,922.0,175.0,12395.0,663.0,141.0
48197,11240C,송파구,제조업(10~34),1520.0,9200.0,1051.0,313.0,6819.0,822.0,195.0
50201,11250C,강동구,제조업(10~34),1400.0,5191.0,1213.0,414.0,2593.0,968.0,3.0
101,11C,서울특별시,제조업(10~34),58970.0,266500.0,48869.0,14191.0,158705.0,38414.0,6321.0
2105,21010C,중구,제조업(10~34),661.0,1711.0,631.0,185.0,520.0,375.0,0.0
4109,21020C,서구,제조업(10~34),484.0,3149.0,403.0,152.0,2245.0,345.0,4.0
6113,21030C,동구,제조업(10~34),1195.0,3024.0,1116.0,358.0,1020.0,507.0,23.0
8117,21040C,영도구,제조업(10~34),1552.0,9874.0,1282.0,277.0,6538.0,1722.0,55.0
10121,21050C,부산진구,제조업(10~34),2250.0,8011.0,2083.0,698.0,3533.0,1621.0,76.0
12125,21060C,동래구,제조업(10~34),992.0,3391.0,911.0,360.0,1505.0,608.0,7.0
14129,21070C,남구,제조업(10~34),963.0,5400.0,827.0,312.0,3701.0,554.0,6.0
16133,21080C,북구,제조업(10~34),603.0,2442.0,543.0,194.0,1286.0,416.0,3.0
18137,21090C,해운대구,제조업(10~34),884.0,6961.0,677.0,225.0,5596.0,463.0,0.0
20141,21100C,사하구,제조업(10~34),3233.0,30758.0,2510.0,743.0,25483.0,2016.0,6.0
22145,21110C,금정구,제조업(10~34),1642.0,9850.0,1420.0,435.0,6894.0,1074.0,27.0
24149,21120C,강서구,제조업(10~34),6477.0,69297.0,4523.0,1086.0,60812.0,2836.0,40.0
26153,21130C,연제구,제조업(10~34),695.0,2770.0,619.0,199.0,1446.0,506.0,0.0
28157,21140C,수영구,제조업(10~34),570.0,2103.0,524.0,180.0,975.0,424.0,0.0
30161,21150C,사상구,제조업(10~34),7244.0,40803.0,6154.0,995.0,30818.0,2821.0,15.0
32165,21310C,기장군,제조업(10~34),1211.0,16547.0,775.0,166.0,14695.0,687.0,224.0
101,21C,부산광역시,제조업(10~34),30656.0,216091.0,24998.0,6565.0,167067.0,16975.0,486.0
2105,22010C,중구,제조업(10~34),2047.0,5172.0,1948.0,569.0,2108.0,532.0,15.0
4109,22020C,동구,제조업(10~34),1341.0,7475.0,1112.0,390.0,5284.0,681.0,8.0
6113,22030C,서구,제조업(10~34),3176.0,19957.0,2814.0,841.0,14485.0,1669.0,148.0
8117,22040C,남구,제조업(10~34),811.0,2085.0,742.0,297.0,710.0,329.0,7.0
10121,22050C,북구,제조업(10~34),8635.0,35166.0,7947.0,1678.0,22189.0,3272.0,80.0
12125,22060C,수성구,제조업(10~34),787.0,2667.0,706.0,290.0,1281.0,362.0,28.0
14129,22070C,달서구,제조업(10~34),5931.0,56170.0,4464.0,881.0,48018.0,2772.0,35.0
16133,22310C,달성군,제조업(10~34),4233.0,47816.0,3230.0,859.0,41096.0,2553.0,78.0
101,22C,대구광역시,제조업(10~34),26961.0,176508.0,22963.0,5805.0,135171.0,12170.0,399.0
2105,23010C,중구,제조업(10~34),524.0,7654.0,400.0,68.0,6998.0,188.0,0.0
4109,23020C,동구,제조업(10~34),1619.0,11457.0,1362.0,227.0,9169.0,605.0,94.0
6113,23040C,연수구,제조업(10~34),893.0,15904.0,466.0,91.0,14575.0,754.0,18.0
8117,23050C,남동구,제조업(10~34),7470.0,81990.0,4735.0,596.0,72741.0,3549.0,369.0
10121,23060C,부평구,제조업(10~34),3332.0,34776.0,2533.0,525.0,29470.0,2204.0,44.0
12125,23070C,계양구,제조업(10~34),1626.0,10425.0,1256.0,295.0,7740.0,832.0,302.0
14129,23080C,서구,제조업(10~34),7133.0,66373.0,4687.0,599.0,57633.0,3253.0,201.0
16133,23090C,미추홀구,제조업(10~34),2140.0,15610.0,1647.0,400.0,12014.0,1400.0,149.0
18137,23310C,강화군,제조업(10~34),429.0,2967.0,297.0,121.0,2335.0,151.0,63.0
20141,23320C,옹진군,제조업(10~34),69.0,205.0,45.0,16.0,108.0,36.0,0.0
101,23C,인천광역시,제조업(10~34),25235.0,247361.0,17428.0,2938.0,212783.0,12972.0,1240.0
2105,24010C,동구,제조업(10~34),954.0,2154.0,867.0,321.0,720.0,238.0,8.0
4109,24020C,서구,제조업(10~34),1045.0,11163.0,848.0,321.0,9477.0,507.0,10.0
6113,24030C,남구,제조업(10~34),521.0,1880.0,459.0,172.0,927.0,221.0,101.0
8117,24040C,북구,제조업(10~34),2392.0,20653.0,1591.0,558.0,17487.0,1006.0,11.0
10121,24050C,광산구,제조업(10~34),4193.0,50259.0,2460.0,471.0,45185.0,2090.0,53.0
101,24C,광주광역시,제조업(10~34),9105.0,86109.0,6225.0,1843.0,73796.0,4062.0,183.0
2105,25010C,동구,제조업(10~34),2005.0,6225.0,1777.0,481.0,3313.0,644.0,10.0
4109,25020C,중구,제조업(10~34),867.0,3239.0,747.0,264.0,1626.0,560.0,42.0
6113,25030C,서구,제조업(10~34),975.0,3647.0,809.0,312.0,2078.0,448.0,0.0
8117,25040C,유성구,제조업(10~34),1545.0,20660.0,685.0,154.0,19226.0,587.0,8.0
10121,25050C,대덕구,제조업(10~34),2828.0,28108.0,2118.0,445.0,24306.0,1202.0,37.0
101,25C,대전광역시,제조업(10~34),8220.0,61879.0,6136.0,1656.0,50549.0,3441.0,97.0
2105,26010C,중구,제조업(10~34),953.0,2630.0,863.0,224.0,1199.0,339.0,5.0
4109,26020C,남구,제조업(10~34),1557.0,28230.0,1111.0,278.0,26008.0,820.0,13.0
6113,26030C,동구,제조업(10~34),512.0,44036.0,298.0,68.0,42569.0,1101.0,0.0
8117,26040C,북구,제조업(10~34),1620.0,55022.0,1138.0,145.0,49980.0,3663.0,96.0
10121,26310C,울주군,제조업(10~34),2657.0,46072.0,1468.0,264.0,42214.0,2104.0,22.0
101,26C,울산광역시,제조업(10~34),7299.0,175990.0,4878.0,979.0,161970.0,8027.0,136.0
2105,29010C,세종특별자치시,제조업(10~34),1233.0,20248.0,699.0,185.0,18493.0,714.0,157.0
101,29C,세종특별자치시,제조업(10~34),1233.0,20248.0,699.0,185.0,18493.0,714.0,157.0
2105,31010C,수원시,제조업(10~34),3892.0,47932.0,2540.0,686.0,42464.0,2192.0,50.0
