,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2072,11010B,종로구,광업(05~08),4.0,10.0,1.0,0.0,9.0,0.0,0.0
4076,11020B,중구,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,11030B,용산구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,11040B,성동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,11050B,광진구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
12092,11060B,동대문구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
14096,11070B,중랑구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
16100,11080B,성북구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
18104,11090B,강북구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
20108,11100B,도봉구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,11110B,노원구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
24116,11120B,은평구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
26120,11130B,서대문구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
28124,11140B,마포구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
30128,11150B,양천구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
32132,11160B,강서구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
34136,11170B,구로구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
36140,11180B,금천구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
38144,11190B,영등포구,광업(05~08),3.0,13.0,0.0,0.0,6.0,7.0,0.0
40148,11200B,동작구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
42152,11210B,관악구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
44156,11220B,서초구,광업(05~08),4.0,30.0,0.0,0.0,30.0,0.0,0.0
46160,11230B,강남구,광업(05~08),6.0,14.0,0.0,0.0,14.0,0.0,0.0
48164,11240B,송파구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
50168,11250B,강동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,11B,서울특별시,광업(05~08),24.0,81.0,1.0,0.0,72.0,8.0,0.0
2072,21010B,중구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,21020B,서구,광업(05~08),3.0,22.0,0.0,0.0,22.0,0.0,0.0
6080,21030B,동구,광업(05~08),3.0,11.0,1.0,0.0,8.0,2.0,0.0
8084,21040B,영도구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,21050B,부산진구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
12092,21060B,동래구,광업(05~08),3.0,10.0,0.0,0.0,10.0,0.0,0.0
14096,21070B,남구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
16100,21080B,북구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
18104,21090B,해운대구,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
20108,21100B,사하구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,21110B,금정구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
24116,21120B,강서구,광업(05~08),6.0,37.0,4.0,0.0,31.0,2.0,0.0
26120,21130B,연제구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
28124,21140B,수영구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
30128,21150B,사상구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
32132,21310B,기장군,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,21B,부산광역시,광업(05~08),18.0,114.0,5.0,0.0,105.0,4.0,0.0
2072,22010B,중구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,22020B,동구,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,22030B,서구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,22040B,남구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,22050B,북구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
12092,22060B,수성구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
14096,22070B,달서구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
16100,22310B,달성군,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
68,22B,대구광역시,광업(05~08),6.0,26.0,1.0,1.0,24.0,0.0,0.0
2072,23010B,중구,광업(05~08),16.0,325.0,6.0,0.0,306.0,13.0,0.0
4076,23020B,동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,23040B,연수구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,23050B,남동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,23060B,부평구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
12092,23070B,계양구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
14096,23080B,서구,광업(05~08),8.0,111.0,2.0,1.0,99.0,9.0,0.0
16100,23090B,미추홀구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
18104,23310B,강화군,광업(05~08),4.0,52.0,1.0,0.0,51.0,0.0,0.0
20108,23320B,옹진군,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
68,23B,인천광역시,광업(05~08),32.0,549.0,11.0,3.0,513.0,22.0,0.0
2072,24010B,동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,24020B,서구,광업(05~08),6.0,47.0,0.0,0.0,45.0,2.0,0.0
6080,24030B,남구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,24040B,북구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,24050B,광산구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,24B,광주광역시,광업(05~08),7.0,51.0,0.0,0.0,47.0,4.0,0.0
2072,25010B,동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,25020B,중구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,25030B,서구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,25040B,유성구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,25050B,대덕구,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
68,25B,대전광역시,광업(05~08),3.0,15.0,1.0,0.0,14.0,0.0,0.0
2072,26010B,중구,광업(05~08),2.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,26020B,남구,광업(05~08),3.0,50.0,0.0,0.0,48.0,2.0,0.0
6080,26030B,동구,광업(05~08),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,26040B,북구,광업(05~08),1.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,26310B,울주군,광업(05~08),15.0,279.0,2.0,0.0,276.0,1.0,0.0
68,26B,울산광역시,광업(05~08),21.0,339.0,2.0,0.0,331.0,6.0,0.0
2072,29010B,세종특별자치시,광업(05~08),9.0,116.0,0.0,0.0,105.0,7.0,4.0
68,29B,세종특별자치시,광업(05~08),9.0,116.0,0.0,0.0,105.0,7.0,4.0
