,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2005,11010A,종로구,"농업, 임업 및 어업(01~03)",3.0,17.0,0.0,0.0,15.0,1.0,1.0
4009,11020A,중구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6013,11030A,용산구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8017,11040A,성동구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,11050A,광진구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
12025,11060A,동대문구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14029,11070A,중랑구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
16033,11080A,성북구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18037,11090A,강북구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
20041,11100A,도봉구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
22045,11110A,노원구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
24049,11120A,은평구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
26053,11130A,서대문구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
28057,11140A,마포구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
30061,11150A,양천구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32065,11160A,강서구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
34069,11170A,구로구,"농업, 임업 및 어업(01~03)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
36073,11180A,금천구,"농업, 임업 및 어업(01~03)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
38077,11190A,영등포구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
40081,11200A,동작구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
42085,11210A,관악구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
44089,11220A,서초구,"농업, 임업 및 어업(01~03)",3.0,37.0,0.0,0.0,37.0,0.0,0.0
46093,11230A,강남구,"농업, 임업 및 어업(01~03)",4.0,46.0,0.0,0.0,44.0,2.0,0.0
48097,11240A,송파구,"농업, 임업 및 어업(01~03)",7.0,273.0,0.0,0.0,268.0,5.0,0.0
50101,11250A,강동구,"농업, 임업 및 어업(01~03)",3.0,40.0,0.0,0.0,22.0,18.0,0.0
1,11A,서울특별시,"농업, 임업 및 어업(01~03)",30.0,462.0,0.0,0.0,431.0,27.0,4.0
2005,21010A,중구,"농업, 임업 및 어업(01~03)",21.0,1644.0,0.0,0.0,1644.0,0.0,0.0
4009,21020A,서구,"농업, 임업 및 어업(01~03)",21.0,1056.0,0.0,0.0,1056.0,0.0,0.0
6013,21030A,동구,"농업, 임업 및 어업(01~03)",6.0,42.0,0.0,0.0,23.0,8.0,11.0
8017,21040A,영도구,"농업, 임업 및 어업(01~03)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,21050A,부산진구,"농업, 임업 및 어업(01~03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
