,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2939,11010F,종로구,건설업(41~42),328.0,30305.0,195.0,36.0,28647.0,1286.0,141.0
4943,11020F,중구,건설업(41~42),390.0,4896.0,218.0,42.0,3104.0,1514.0,18.0
6947,11030F,용산구,건설업(41~42),421.0,7591.0,242.0,44.0,5282.0,2011.0,12.0
8951,11040F,성동구,건설업(41~42),666.0,5790.0,334.0,39.0,3691.0,1617.0,109.0
10955,11050F,광진구,건설업(41~42),784.0,13397.0,449.0,67.0,4176.0,8630.0,75.0
12959,11060F,동대문구,건설업(41~42),766.0,5849.0,499.0,122.0,2579.0,2357.0,292.0
14963,11070F,중랑구,건설업(41~42),912.0,6006.0,666.0,172.0,2043.0,2824.0,301.0
16967,11080F,성북구,건설업(41~42),554.0,3934.0,392.0,80.0,1680.0,1680.0,102.0
18971,11090F,강북구,건설업(41~42),506.0,2133.0,386.0,91.0,943.0,667.0,46.0
20975,11100F,도봉구,건설업(41~42),495.0,3402.0,358.0,133.0,1346.0,1455.0,110.0
22979,11110F,노원구,건설업(41~42),551.0,2507.0,392.0,122.0,1235.0,739.0,19.0
24983,11120F,은평구,건설업(41~42),635.0,4053.0,394.0,71.0,1938.0,1407.0,243.0
26987,11130F,서대문구,건설업(41~42),506.0,3868.0,363.0,42.0,1369.0,2076.0,18.0
28991,11140F,마포구,건설업(41~42),1029.0,14703.0,459.0,54.0,7164.0,6779.0,247.0
30995,11150F,양천구,건설업(41~42),828.0,10437.0,508.0,124.0,2718.0,6947.0,140.0
32999,11160F,강서구,건설업(41~42),1214.0,14875.0,548.0,103.0,5924.0,8041.0,259.0
35003,11170F,구로구,건설업(41~42),1009.0,12033.0,518.0,86.0,5190.0,5981.0,258.0
37007,11180F,금천구,건설업(41~42),1132.0,17882.0,495.0,68.0,6043.0,11026.0,250.0
39011,11190F,영등포구,건설업(41~42),1319.0,23195.0,602.0,77.0,12653.0,7948.0,1915.0
41015,11200F,동작구,건설업(41~42),568.0,7529.0,398.0,96.0,1572.0,5267.0,196.0
43019,11210F,관악구,건설업(41~42),696.0,7805.0,470.0,83.0,2291.0,4882.0,79.0
45023,11220F,서초구,건설업(41~42),1663.0,62442.0,505.0,78.0,23855.0,37532.0,472.0
47027,11230F,강남구,건설업(41~42),1931.0,49157.0,559.0,88.0,22528.0,25051.0,931.0
