,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
18927,38111E,의창구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,243.0,11.0,0.0,221.0,11.0,0.0
20931,38112E,성산구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,513.0,10.0,0.0,477.0,26.0,0.0
22935,38113E,마산합포구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",34.0,555.0,8.0,1.0,506.0,40.0,0.0
24939,38114E,마산회원구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,318.0,9.0,3.0,292.0,14.0,0.0
26943,38115E,진해구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",18.0,329.0,3.0,0.0,316.0,2.0,8.0
28947,38310E,의령군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",13.0,104.0,5.0,2.0,95.0,2.0,0.0
30951,38320E,함안군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",57.0,544.0,24.0,2.0,509.0,8.0,1.0
32955,38330E,창녕군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",29.0,183.0,14.0,3.0,148.0,18.0,0.0
34959,38340E,고성군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",14.0,87.0,7.0,1.0,74.0,5.0,0.0
36963,38350E,남해군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",26.0,138.0,4.0,3.0,122.0,9.0,0.0
38967,38360E,하동군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",15.0,119.0,11.0,3.0,84.0,21.0,0.0
40971,38370E,산청군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",8.0,69.0,2.0,0.0,67.0,0.0,0.0
42975,38380E,함양군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",12.0,109.0,2.0,2.0,98.0,7.0,0.0
44979,38390E,거창군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",10.0,157.0,3.0,1.0,153.0,0.0,0.0
46983,38400E,합천군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",14.0,152.0,2.0,0.0,133.0,17.0,0.0
891,38E,경상남도,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",869.0,9362.0,318.0,51.0,8613.0,369.0,11.0
2895,39010E,제주시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",74.0,808.0,24.0,3.0,704.0,77.0,0.0
4899,39020E,서귀포시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,274.0,11.0,2.0,239.0,22.0,0.0
891,39E,제주특별자치도,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",104.0,1082.0,35.0,5.0,943.0,99.0,0.0
