,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3659,11010N,종로구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1227.0,18157.0,422.0,35.0,15719.0,1878.0,103.0
5663,11020N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1483.0,39020.0,504.0,48.0,33000.0,4131.0,1337.0
7667,11030N,용산구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",365.0,15708.0,135.0,7.0,13810.0,1613.0,143.0
9671,11040N,성동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",419.0,18907.0,166.0,19.0,16760.0,1575.0,387.0
11675,11050N,광진구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",451.0,10213.0,223.0,31.0,7301.0,2429.0,229.0
13679,11060N,동대문구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",435.0,8666.0,223.0,30.0,6281.0,733.0,1399.0
15683,11070N,중랑구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",321.0,2853.0,192.0,28.0,2286.0,210.0,137.0
17687,11080N,성북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",254.0,5255.0,155.0,20.0,4489.0,414.0,177.0
19691,11090N,강북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",216.0,3440.0,133.0,23.0,2547.0,662.0,75.0
21695,11100N,도봉구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",181.0,1841.0,104.0,16.0,1483.0,88.0,150.0
23699,11110N,노원구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",317.0,4602.0,192.0,28.0,3584.0,670.0,128.0
25703,11120N,은평구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",249.0,1741.0,148.0,17.0,1097.0,331.0,148.0
27707,11130N,서대문구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",444.0,6690.0,230.0,23.0,4954.0,1133.0,350.0
29711,11140N,마포구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1069.0,34430.0,333.0,19.0,30433.0,2890.0,755.0
31715,11150N,양천구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",336.0,5260.0,156.0,17.0,3987.0,928.0,172.0
33719,11160N,강서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",686.0,17365.0,262.0,31.0,12608.0,3228.0,1236.0
35723,11170N,구로구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",705.0,25341.0,279.0,20.0,21754.0,2694.0,594.0
37727,11180N,금천구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",669.0,20454.0,218.0,21.0,17307.0,2723.0,185.0
39731,11190N,영등포구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1110.0,57524.0,404.0,25.0,49149.0,5847.0,2099.0
41735,11200N,동작구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",318.0,10746.0,204.0,23.0,8740.0,1566.0,213.0
43739,11210N,관악구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",362.0,6276.0,208.0,28.0,3796.0,1403.0,841.0
45743,11220N,서초구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1273.0,56487.0,443.0,16.0,48859.0,6018.0,1151.0
47747,11230N,강남구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2008.0,83062.0,657.0,30.0,70321.0,8534.0,3520.0
49751,11240N,송파구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",832.0,29731.0,325.0,22.0,25152.0,4024.0,208.0
51755,11250N,강동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",468.0,12664.0,260.0,28.0,10994.0,1050.0,332.0
1655,11N,서울특별시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",16198.0,496433.0,6576.0,605.0,416411.0,56772.0,16069.0
3659,21010N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",406.0,5387.0,130.0,8.0,4143.0,1038.0,68.0
5663,21020N,서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",176.0,1856.0,70.0,11.0,906.0,861.0,8.0
7667,21030N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",471.0,10777.0,156.0,21.0,8619.0,1208.0,773.0
9671,21040N,영도구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",138.0,2755.0,88.0,26.0,1786.0,833.0,22.0
11675,21050N,부산진구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",768.0,16277.0,414.0,63.0,13278.0,1887.0,635.0
13679,21060N,동래구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",389.0,8022.0,159.0,25.0,4567.0,2982.0,289.0
15683,21070N,남구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",315.0,4092.0,156.0,38.0,3380.0,426.0,92.0
17687,21080N,북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",202.0,2244.0,108.0,10.0,1666.0,171.0,289.0
19691,21090N,해운대구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",524.0,9400.0,222.0,23.0,6969.0,2006.0,180.0
21695,21100N,사하구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",289.0,2491.0,149.0,28.0,2135.0,111.0,68.0
23699,21110N,금정구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",254.0,3735.0,146.0,22.0,3276.0,230.0,61.0
25703,21120N,강서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",229.0,1486.0,125.0,28.0,1145.0,185.0,3.0
27707,21130N,연제구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",415.0,5844.0,171.0,17.0,4584.0,731.0,341.0
29711,21140N,수영구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",314.0,2082.0,130.0,15.0,1311.0,600.0,26.0
31715,21150N,사상구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",273.0,3715.0,150.0,18.0,3044.0,315.0,188.0
33719,21310N,기장군,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",162.0,2579.0,89.0,16.0,1918.0,485.0,71.0
1655,21N,부산광역시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",5325.0,82742.0,2463.0,369.0,62727.0,14069.0,3114.0
3659,22010N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",483.0,4798.0,228.0,21.0,3634.0,803.0,112.0
5663,22020N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",400.0,7919.0,213.0,34.0,5376.0,2115.0,181.0
7667,22030N,서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",278.0,2613.0,186.0,26.0,1823.0,517.0,61.0
9671,22040N,남구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",277.0,6930.0,188.0,31.0,4062.0,2519.0,130.0
11675,22050N,북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",365.0,5720.0,207.0,32.0,4125.0,1222.0,134.0
13679,22060N,수성구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",393.0,8971.0,203.0,39.0,6545.0,1896.0,288.0
15683,22070N,달서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",625.0,8047.0,312.0,46.0,4038.0,3101.0,550.0
17687,22310N,달성군,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",208.0,1470.0,129.0,22.0,1019.0,235.0,65.0
1655,22N,대구광역시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",3029.0,46468.0,1666.0,251.0,30622.0,12408.0,1521.0
3659,23010N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",271.0,9744.0,141.0,12.0,8754.0,447.0,390.0
5663,23020N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",104.0,538.0,56.0,11.0,420.0,39.0,12.0
7667,23040N,연수구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",302.0,4965.0,125.0,17.0,4216.0,532.0,75.0
9671,23050N,남동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",580.0,9980.0,275.0,33.0,8455.0,945.0,272.0
11675,23060N,부평구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",521.0,5427.0,300.0,58.0,3967.0,685.0,417.0
13679,23070N,계양구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",281.0,5154.0,156.0,11.0,4410.0,485.0,92.0
15683,23080N,서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",426.0,4068.0,249.0,29.0,3174.0,406.0,210.0
17687,23090N,미추홀구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",467.0,6911.0,286.0,41.0,4857.0,948.0,779.0
19691,23310N,강화군,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",38.0,154.0,26.0,9.0,97.0,22.0,0.0
21695,23320N,옹진군,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",39.0,141.0,21.0,6.0,81.0,16.0,17.0
1655,23N,인천광역시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",3029.0,47082.0,1635.0,227.0,38431.0,4525.0,2264.0
3659,24010N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",384.0,4869.0,187.0,34.0,4186.0,416.0,46.0
5663,24020N,서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",584.0,11167.0,216.0,27.0,9398.0,1259.0,267.0
7667,24030N,남구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",238.0,2605.0,138.0,29.0,1544.0,751.0,143.0
9671,24040N,북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",584.0,7875.0,303.0,65.0,6150.0,1144.0,213.0
11675,24050N,광산구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",434.0,4306.0,199.0,22.0,3146.0,755.0,184.0
1655,24N,광주광역시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2224.0,30822.0,1043.0,177.0,24424.0,4325.0,853.0
3659,25010N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",275.0,3227.0,170.0,25.0,2609.0,415.0,8.0
5663,25020N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",461.0,8636.0,244.0,42.0,6841.0,1372.0,137.0
7667,25030N,서구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",749.0,15803.0,353.0,58.0,12287.0,2716.0,389.0
9671,25040N,유성구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",395.0,4960.0,192.0,34.0,3965.0,621.0,148.0
11675,25050N,대덕구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",220.0,5342.0,113.0,18.0,3536.0,1569.0,106.0
1655,25N,대전광역시,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2100.0,37968.0,1072.0,177.0,29238.0,6693.0,788.0
3659,26010N,중구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",238.0,1618.0,134.0,18.0,1118.0,143.0,205.0
5663,26020N,남구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",691.0,10772.0,389.0,56.0,8318.0,1101.0,908.0
7667,26030N,동구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",92.0,781.0,60.0,9.0,658.0,37.0,17.0
9671,26040N,북구,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",163.0,2651.0,80.0,12.0,2329.0,177.0,53.0
