,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3937,11010S,종로구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2448.0,7672.0,1408.0,193.0,4914.0,474.0,683.0
5941,11020S,중구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2138.0,8366.0,1339.0,170.0,6091.0,587.0,179.0
7945,11030S,용산구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1641.0,5939.0,1191.0,126.0,3843.0,602.0,177.0
9949,11040S,성동구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2115.0,7612.0,1568.0,182.0,5210.0,523.0,129.0
11953,11050S,광진구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2587.0,5608.0,2074.0,263.0,2512.0,444.0,315.0
13957,11060S,동대문구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2581.0,5466.0,2020.0,280.0,2454.0,367.0,345.0
15961,11070S,중랑구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2739.0,5153.0,2131.0,262.0,1981.0,512.0,267.0
17965,11080S,성북구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2684.0,5722.0,2069.0,236.0,2699.0,420.0,298.0
19969,11090S,강북구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2285.0,4503.0,1814.0,237.0,1850.0,385.0,217.0
21973,11100S,도봉구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2064.0,4366.0,1547.0,251.0,2249.0,269.0,50.0
23977,11110S,노원구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2616.0,5501.0,2019.0,273.0,2511.0,498.0,200.0
25981,11120S,은평구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2917.0,5618.0,2252.0,202.0,2414.0,391.0,359.0
27985,11130S,서대문구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2142.0,4908.0,1570.0,171.0,2417.0,385.0,365.0
29989,11140S,마포구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",3120.0,9743.0,2311.0,257.0,5816.0,870.0,489.0
31993,11150S,양천구,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2844.0,6158.0,2204.0,284.0,2853.0,517.0,300.0
