,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3362,11010I,종로구,숙박 및 음식점업(55~56),6625.0,27639.0,5959.0,1837.0,13045.0,6730.0,68.0
5366,11020I,중구,숙박 및 음식점업(55~56),6050.0,33032.0,5208.0,1932.0,18788.0,7041.0,63.0
7370,11030I,용산구,숙박 및 음식점업(55~56),4603.0,19474.0,4048.0,1185.0,9683.0,4381.0,177.0
9374,11040I,성동구,숙박 및 음식점업(55~56),3836.0,12442.0,3608.0,1234.0,4076.0,3477.0,47.0
11378,11050I,광진구,숙박 및 음식점업(55~56),4764.0,17023.0,4526.0,1704.0,6091.0,4652.0,50.0
13382,11060I,동대문구,숙박 및 음식점업(55~56),4863.0,14447.0,4690.0,2074.0,3857.0,3714.0,112.0
15386,11070I,중랑구,숙박 및 음식점업(55~56),4152.0,11212.0,4081.0,1790.0,2451.0,2765.0,125.0
17390,11080I,성북구,숙박 및 음식점업(55~56),4463.0,13397.0,4282.0,1697.0,3758.0,3562.0,98.0
19394,11090I,강북구,숙박 및 음식점업(55~56),3719.0,10674.0,3633.0,1464.0,2553.0,2863.0,161.0
21398,11100I,도봉구,숙박 및 음식점업(55~56),2751.0,7906.0,2667.0,1246.0,2137.0,1817.0,39.0
23402,11110I,노원구,숙박 및 음식점업(55~56),4191.0,14443.0,4013.0,1585.0,4254.0,4511.0,80.0
25406,11120I,은평구,숙박 및 음식점업(55~56),4273.0,12317.0,4130.0,1492.0,3469.0,3101.0,125.0
27410,11130I,서대문구,숙박 및 음식점업(55~56),4315.0,14505.0,4017.0,1516.0,4962.0,3891.0,119.0
29414,11140I,마포구,숙박 및 음식점업(55~56),8429.0,31288.0,7670.0,1994.0,12784.0,8645.0,195.0
31418,11150I,양천구,숙박 및 음식점업(55~56),3604.0,12092.0,3432.0,1372.0,3881.0,3333.0,74.0
33422,11160I,강서구,숙박 및 음식점업(55~56),5900.0,21475.0,5569.0,1953.0,7307.0,6364.0,282.0
35426,11170I,구로구,숙박 및 음식점업(55~56),4664.0,15178.0,4443.0,1517.0,5436.0,3627.0,155.0
37430,11180I,금천구,숙박 및 음식점업(55~56),3350.0,11033.0,3192.0,1113.0,3736.0,2898.0,94.0
39434,11190I,영등포구,숙박 및 음식점업(55~56),6897.0,27163.0,6223.0,1923.0,12346.0,6521.0,150.0
