,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3491,11010K,종로구,금융 및 보험업(64~66),567.0,19260.0,92.0,4.0,17224.0,294.0,1646.0
5495,11020K,중구,금융 및 보험업(64~66),1217.0,50108.0,280.0,26.0,43141.0,1255.0,5406.0
7499,11030K,용산구,금융 및 보험업(64~66),266.0,5085.0,33.0,3.0,4327.0,40.0,682.0
9503,11040K,성동구,금융 및 보험업(64~66),314.0,4131.0,72.0,2.0,2527.0,243.0,1287.0
11507,11050K,광진구,금융 및 보험업(64~66),235.0,4739.0,46.0,2.0,1882.0,81.0,2728.0
13511,11060K,동대문구,금융 및 보험업(64~66),275.0,4314.0,32.0,4.0,2320.0,17.0,1941.0
15515,11070K,중랑구,금융 및 보험업(64~66),162.0,1800.0,38.0,2.0,1221.0,57.0,482.0
17519,11080K,성북구,금융 및 보험업(64~66),145.0,1512.0,24.0,1.0,1315.0,46.0,126.0
19523,11090K,강북구,금융 및 보험업(64~66),267.0,4074.0,66.0,3.0,1282.0,62.0,2661.0
21527,11100K,도봉구,금융 및 보험업(64~66),134.0,1281.0,45.0,0.0,981.0,54.0,201.0
23531,11110K,노원구,금융 및 보험업(64~66),236.0,4253.0,32.0,0.0,1753.0,69.0,2399.0
25535,11120K,은평구,금융 및 보험업(64~66),164.0,2324.0,21.0,0.0,1267.0,335.0,701.0
27539,11130K,서대문구,금융 및 보험업(64~66),181.0,4067.0,19.0,0.0,3181.0,137.0,730.0
29543,11140K,마포구,금융 및 보험업(64~66),505.0,10751.0,60.0,0.0,7075.0,172.0,3444.0
31547,11150K,양천구,금융 및 보험업(64~66),209.0,2549.0,31.0,2.0,1789.0,33.0,694.0
33551,11160K,강서구,금융 및 보험업(64~66),337.0,3996.0,44.0,0.0,2336.0,55.0,1561.0
35555,11170K,구로구,금융 및 보험업(64~66),498.0,8238.0,106.0,9.0,5693.0,282.0,2148.0
37559,11180K,금천구,금융 및 보험업(64~66),228.0,2402.0,33.0,1.0,2029.0,89.0,250.0
39563,11190K,영등포구,금융 및 보험업(64~66),1242.0,56551.0,173.0,9.0,49284.0,1858.0,5227.0
41567,11200K,동작구,금융 및 보험업(64~66),192.0,3642.0,13.0,1.0,1815.0,33.0,1780.0
43571,11210K,관악구,금융 및 보험업(64~66),173.0,1857.0,25.0,4.0,1590.0,16.0,222.0
45575,11220K,서초구,금융 및 보험업(64~66),930.0,18539.0,112.0,0.0,15260.0,569.0,2598.0
47579,11230K,강남구,금융 및 보험업(64~66),1940.0,34738.0,226.0,2.0,26072.0,685.0,7753.0
49583,11240K,송파구,금융 및 보험업(64~66),540.0,8393.0,67.0,1.0,6426.0,251.0,1648.0
51587,11250K,강동구,금융 및 보험업(64~66),263.0,3669.0,37.0,1.0,2114.0,67.0,1450.0
1487,11K,서울특별시,금융 및 보험업(64~66),11220.0,262273.0,1727.0,77.0,203904.0,6800.0,49765.0
3491,21010K,중구,금융 및 보험업(64~66),215.0,2287.0,53.0,4.0,1294.0,49.0,887.0
5495,21020K,서구,금융 및 보험업(64~66),66.0,512.0,15.0,2.0,481.0,13.0,1.0
7499,21030K,동구,금융 및 보험업(64~66),412.0,7399.0,60.0,0.0,3731.0,78.0,3530.0
9503,21040K,영도구,금융 및 보험업(64~66),50.0,343.0,10.0,0.0,322.0,11.0,0.0
11507,21050K,부산진구,금융 및 보험업(64~66),778.0,14805.0,90.0,6.0,4985.0,189.0,9535.0
13511,21060K,동래구,금융 및 보험업(64~66),171.0,1894.0,27.0,3.0,1405.0,36.0,423.0
15515,21070K,남구,금융 및 보험업(64~66),145.0,4640.0,21.0,1.0,4366.0,26.0,226.0
17519,21080K,북구,금융 및 보험업(64~66),152.0,2872.0,14.0,2.0,1434.0,102.0,1320.0
