,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2876,11010D,종로구,"전기, 가스, 증기 및 공기조절 공급업(35)",12.0,350.0,0.0,0.0,350.0,0.0,0.0
4880,11020D,중구,"전기, 가스, 증기 및 공기조절 공급업(35)",6.0,724.0,1.0,0.0,721.0,2.0,0.0
6884,11030D,용산구,"전기, 가스, 증기 및 공기조절 공급업(35)",4.0,43.0,1.0,0.0,42.0,0.0,0.0
8888,11040D,성동구,"전기, 가스, 증기 및 공기조절 공급업(35)",13.0,421.0,1.0,0.0,420.0,0.0,0.0
10892,11050D,광진구,"전기, 가스, 증기 및 공기조절 공급업(35)",3.0,69.0,2.0,0.0,67.0,0.0,0.0
12896,11060D,동대문구,"전기, 가스, 증기 및 공기조절 공급업(35)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
14900,11070D,중랑구,"전기, 가스, 증기 및 공기조절 공급업(35)",6.0,109.0,1.0,0.0,106.0,2.0,0.0
16904,11080D,성북구,"전기, 가스, 증기 및 공기조절 공급업(35)",5.0,10.0,1.0,0.0,8.0,1.0,0.0
18908,11090D,강북구,"전기, 가스, 증기 및 공기조절 공급업(35)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
20912,11100D,도봉구,"전기, 가스, 증기 및 공기조절 공급업(35)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
22916,11110D,노원구,"전기, 가스, 증기 및 공기조절 공급업(35)",6.0,311.0,1.0,0.0,295.0,15.0,0.0
24920,11120D,은평구,"전기, 가스, 증기 및 공기조절 공급업(35)",6.0,159.0,1.0,0.0,158.0,0.0,0.0
26924,11130D,서대문구,"전기, 가스, 증기 및 공기조절 공급업(35)",4.0,69.0,2.0,0.0,67.0,0.0,0.0
28928,11140D,마포구,"전기, 가스, 증기 및 공기조절 공급업(35)",11.0,464.0,0.0,0.0,464.0,0.0,0.0
30932,11150D,양천구,"전기, 가스, 증기 및 공기조절 공급업(35)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
32936,11160D,강서구,"전기, 가스, 증기 및 공기조절 공급업(35)",8.0,466.0,1.0,0.0,446.0,19.0,0.0
34940,11170D,구로구,"전기, 가스, 증기 및 공기조절 공급업(35)",8.0,104.0,0.0,0.0,104.0,0.0,0.0
36944,11180D,금천구,"전기, 가스, 증기 및 공기조절 공급업(35)",6.0,10.0,3.0,0.0,7.0,0.0,0.0
38948,11190D,영등포구,"전기, 가스, 증기 및 공기조절 공급업(35)",11.0,781.0,0.0,0.0,781.0,0.0,0.0
40952,11200D,동작구,"전기, 가스, 증기 및 공기조절 공급업(35)",4.0,148.0,1.0,0.0,147.0,0.0,0.0
42956,11210D,관악구,"전기, 가스, 증기 및 공기조절 공급업(35)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
44960,11220D,서초구,"전기, 가스, 증기 및 공기조절 공급업(35)",13.0,150.0,0.0,0.0,150.0,0.0,0.0
46964,11230D,강남구,"전기, 가스, 증기 및 공기조절 공급업(35)",39.0,1222.0,1.0,0.0,1215.0,6.0,0.0
48968,11240D,송파구,"전기, 가스, 증기 및 공기조절 공급업(35)",10.0,31.0,1.0,1.0,26.0,0.0,3.0
50972,11250D,강동구,"전기, 가스, 증기 및 공기조절 공급업(35)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
872,11D,서울특별시,"전기, 가스, 증기 및 공기조절 공급업(35)",183.0,6083.0,20.0,1.0,6009.0,49.0,4.0
2876,21010D,중구,"전기, 가스, 증기 및 공기조절 공급업(35)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4880,21020D,서구,"전기, 가스, 증기 및 공기조절 공급업(35)",4.0,75.0,1.0,0.0,72.0,2.0,0.0
6884,21030D,동구,"전기, 가스, 증기 및 공기조절 공급업(35)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
8888,21040D,영도구,"전기, 가스, 증기 및 공기조절 공급업(35)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
10892,21050D,부산진구,"전기, 가스, 증기 및 공기조절 공급업(35)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
12896,21060D,동래구,"전기, 가스, 증기 및 공기조절 공급업(35)",3.0,89.0,0.0,0.0,87.0,2.0,0.0
14900,21070D,남구,"전기, 가스, 증기 및 공기조절 공급업(35)",5.0,398.0,0.0,0.0,397.0,1.0,0.0
16904,21080D,북구,"전기, 가스, 증기 및 공기조절 공급업(35)",1.0,0.0,0.0,0.0,0.0,0.0,0.0
18908,21090D,해운대구,"전기, 가스, 증기 및 공기조절 공급업(35)",7.0,146.0,1.0,0.0,137.0,8.0,0.0
20912,21100D,사하구,"전기, 가스, 증기 및 공기조절 공급업(35)",9.0,358.0,1.0,0.0,355.0,2.0,0.0
22916,21110D,금정구,"전기, 가스, 증기 및 공기조절 공급업(35)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24920,21120D,강서구,"전기, 가스, 증기 및 공기조절 공급업(35)",12.0,147.0,1.0,0.0,144.0,2.0,0.0
