,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3407,11010J,종로구,정보통신업(58~63),858.0,18599.0,367.0,11.0,17434.0,623.0,164.0
5411,11020J,중구,정보통신업(58~63),914.0,25013.0,354.0,12.0,23993.0,635.0,19.0
7415,11030J,용산구,정보통신업(58~63),484.0,9750.0,169.0,4.0,9158.0,237.0,182.0
9419,11040J,성동구,정보통신업(58~63),860.0,10725.0,178.0,3.0,9993.0,292.0,259.0
11423,11050J,광진구,정보통신업(58~63),345.0,3720.0,111.0,12.0,3240.0,338.0,19.0
13427,11060J,동대문구,정보통신업(58~63),254.0,2119.0,137.0,4.0,1720.0,240.0,18.0
15431,11070J,중랑구,정보통신업(58~63),135.0,1027.0,70.0,5.0,860.0,84.0,8.0
17435,11080J,성북구,정보통신업(58~63),235.0,1877.0,107.0,1.0,1466.0,124.0,179.0
19439,11090J,강북구,정보통신업(58~63),103.0,682.0,49.0,1.0,503.0,118.0,11.0
21443,11100J,도봉구,정보통신업(58~63),82.0,757.0,47.0,1.0,582.0,48.0,79.0
23447,11110J,노원구,정보통신업(58~63),156.0,1242.0,70.0,4.0,928.0,229.0,11.0
25451,11120J,은평구,정보통신업(58~63),157.0,1201.0,90.0,5.0,924.0,110.0,72.0
27455,11130J,서대문구,정보통신업(58~63),443.0,2746.0,254.0,10.0,2292.0,157.0,33.0
29459,11140J,마포구,정보통신업(58~63),2487.0,37909.0,994.0,15.0,34305.0,1846.0,749.0
31463,11150J,양천구,정보통신업(58~63),273.0,5094.0,110.0,1.0,4516.0,272.0,195.0
33467,11160J,강서구,정보통신업(58~63),830.0,11108.0,281.0,13.0,9697.0,605.0,512.0
35471,11170J,구로구,정보통신업(58~63),2108.0,30068.0,461.0,8.0,28050.0,992.0,557.0
37475,11180J,금천구,정보통신업(58~63),2625.0,37711.0,586.0,4.0,34339.0,1598.0,1184.0
39479,11190J,영등포구,정보통신업(58~63),1749.0,30827.0,527.0,5.0,28118.0,1281.0,896.0
41483,11200J,동작구,정보통신업(58~63),222.0,4398.0,83.0,5.0,4014.0,251.0,45.0
43487,11210J,관악구,정보통신업(58~63),288.0,3128.0,126.0,6.0,2809.0,143.0,44.0
45491,11220J,서초구,정보통신업(58~63),2181.0,30389.0,542.0,6.0,28312.0,1213.0,316.0
47495,11230J,강남구,정보통신업(58~63),4483.0,58879.0,896.0,11.0,55485.0,1899.0,588.0
49499,11240J,송파구,정보통신업(58~63),885.0,27034.0,232.0,8.0,26198.0,521.0,75.0
51503,11250J,강동구,정보통신업(58~63),227.0,1758.0,111.0,13.0,1409.0,194.0,31.0
1403,11J,서울특별시,정보통신업(58~63),23384.0,357761.0,6952.0,168.0,330345.0,14050.0,6246.0
3407,21010J,중구,정보통신업(58~63),104.0,919.0,59.0,2.0,803.0,55.0,0.0
5411,21020J,서구,정보통신업(58~63),32.0,114.0,18.0,2.0,91.0,3.0,0.0
7415,21030J,동구,정보통신업(58~63),97.0,1203.0,28.0,0.0,1141.0,34.0,0.0
9419,21040J,영도구,정보통신업(58~63),44.0,454.0,14.0,0.0,324.0,78.0,38.0
11423,21050J,부산진구,정보통신업(58~63),213.0,1462.0,112.0,5.0,1129.0,172.0,44.0
13427,21060J,동래구,정보통신업(58~63),73.0,681.0,38.0,3.0,534.0,106.0,0.0
15431,21070J,남구,정보통신업(58~63),160.0,734.0,77.0,3.0,574.0,73.0,7.0
17435,21080J,북구,정보통신업(58~63),50.0,531.0,21.0,4.0,476.0,30.0,0.0
19439,21090J,해운대구,정보통신업(58~63),557.0,5938.0,152.0,3.0,5378.0,327.0,78.0
21443,21100J,사하구,정보통신업(58~63),74.0,486.0,39.0,3.0,430.0,14.0,0.0
23447,21110J,금정구,정보통신업(58~63),96.0,806.0,46.0,2.0,682.0,74.0,2.0
25451,21120J,강서구,정보통신업(58~63),48.0,928.0,19.0,2.0,792.0,113.0,2.0
27455,21130J,연제구,정보통신업(58~63),114.0,1056.0,56.0,2.0,906.0,64.0,28.0
29459,21140J,수영구,정보통신업(58~63),71.0,753.0,27.0,0.0,710.0,11.0,5.0
31463,21150J,사상구,정보통신업(58~63),135.0,827.0,62.0,4.0,706.0,51.0,4.0
33467,21310J,기장군,정보통신업(58~63),24.0,230.0,8.0,1.0,167.0,52.0,2.0
1403,21J,부산광역시,정보통신업(58~63),1892.0,17122.0,776.0,36.0,14843.0,1257.0,210.0
3407,22010J,중구,정보통신업(58~63),158.0,1770.0,79.0,4.0,1216.0,385.0,86.0
5411,22020J,동구,정보통신업(58~63),211.0,2852.0,68.0,2.0,2602.0,151.0,29.0
7415,22030J,서구,정보통신업(58~63),35.0,518.0,16.0,1.0,441.0,60.0,0.0
9419,22040J,남구,정보통신업(58~63),161.0,989.0,78.0,3.0,865.0,39.0,4.0
11423,22050J,북구,정보통신업(58~63),289.0,2660.0,117.0,8.0,2260.0,212.0,63.0
13427,22060J,수성구,정보통신업(58~63),166.0,1986.0,67.0,1.0,1757.0,77.0,84.0
15431,22070J,달서구,정보통신업(58~63),196.0,1978.0,78.0,7.0,1684.0,208.0,1.0
17435,22310J,달성군,정보통신업(58~63),38.0,231.0,9.0,1.0,197.0,7.0,17.0
1403,22J,대구광역시,정보통신업(58~63),1254.0,12984.0,512.0,27.0,11022.0,1139.0,284.0
3407,23010J,중구,정보통신업(58~63),62.0,951.0,27.0,0.0,898.0,26.0,0.0
5411,23020J,동구,정보통신업(58~63),30.0,72.0,20.0,3.0,45.0,3.0,1.0
7415,23040J,연수구,정보통신업(58~63),220.0,1660.0,89.0,4.0,1402.0,159.0,6.0
9419,23050J,남동구,정보통신업(58~63),190.0,1769.0,89.0,4.0,1352.0,167.0,157.0
11423,23060J,부평구,정보통신업(58~63),137.0,1748.0,55.0,3.0,1483.0,176.0,31.0
13427,23070J,계양구,정보통신업(58~63),84.0,660.0,37.0,2.0,580.0,35.0,6.0
15431,23080J,서구,정보통신업(58~63),77.0,1721.0,35.0,2.0,1590.0,89.0,5.0
17435,23090J,미추홀구,정보통신업(58~63),181.0,1108.0,89.0,3.0,923.0,79.0,14.0
19439,23310J,강화군,정보통신업(58~63),29.0,154.0,8.0,1.0,138.0,6.0,1.0
21443,23320J,옹진군,정보통신업(58~63),13.0,59.0,2.0,0.0,54.0,3.0,0.0
1403,23J,인천광역시,정보통신업(58~63),1023.0,9902.0,451.0,22.0,8465.0,743.0,221.0
3407,24010J,동구,정보통신업(58~63),200.0,1257.0,122.0,9.0,1023.0,92.0,11.0
5411,24020J,서구,정보통신업(58~63),219.0,2201.0,59.0,4.0,1964.0,115.0,59.0
7415,24030J,남구,정보통신업(58~63),143.0,1111.0,73.0,2.0,897.0,73.0,66.0
