,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3870,11010R,종로구,"예술, 스포츠 및 여가관련 서비스업(90~91)",909.0,6227.0,647.0,128.0,3896.0,1161.0,395.0
5874,11020R,중구,"예술, 스포츠 및 여가관련 서비스업(90~91)",558.0,3723.0,432.0,118.0,2418.0,692.0,63.0
7878,11030R,용산구,"예술, 스포츠 및 여가관련 서비스업(90~91)",408.0,2831.0,333.0,57.0,1724.0,654.0,63.0
9882,11040R,성동구,"예술, 스포츠 및 여가관련 서비스업(90~91)",581.0,2157.0,504.0,83.0,1064.0,432.0,74.0
11886,11050R,광진구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1033.0,3862.0,957.0,209.0,1848.0,794.0,54.0
13890,11060R,동대문구,"예술, 스포츠 및 여가관련 서비스업(90~91)",776.0,2462.0,720.0,145.0,956.0,578.0,63.0
15894,11070R,중랑구,"예술, 스포츠 및 여가관련 서비스업(90~91)",940.0,2484.0,859.0,194.0,721.0,592.0,118.0
17898,11080R,성북구,"예술, 스포츠 및 여가관련 서비스업(90~91)",756.0,2306.0,683.0,142.0,810.0,603.0,68.0
19902,11090R,강북구,"예술, 스포츠 및 여가관련 서비스업(90~91)",741.0,2037.0,691.0,135.0,708.0,448.0,55.0
21906,11100R,도봉구,"예술, 스포츠 및 여가관련 서비스업(90~91)",622.0,1907.0,585.0,141.0,659.0,483.0,39.0
23910,11110R,노원구,"예술, 스포츠 및 여가관련 서비스업(90~91)",934.0,3078.0,868.0,181.0,1169.0,745.0,115.0
25914,11120R,은평구,"예술, 스포츠 및 여가관련 서비스업(90~91)",810.0,2277.0,745.0,136.0,747.0,597.0,52.0
27918,11130R,서대문구,"예술, 스포츠 및 여가관련 서비스업(90~91)",572.0,1844.0,517.0,107.0,542.0,521.0,157.0
29922,11140R,마포구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1061.0,4794.0,855.0,126.0,2212.0,1509.0,92.0
31926,11150R,양천구,"예술, 스포츠 및 여가관련 서비스업(90~91)",931.0,3104.0,851.0,201.0,872.0,706.0,474.0
33930,11160R,강서구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1227.0,3851.0,1083.0,190.0,1244.0,986.0,348.0
35934,11170R,구로구,"예술, 스포츠 및 여가관련 서비스업(90~91)",916.0,2617.0,837.0,174.0,955.0,536.0,115.0
37938,11180R,금천구,"예술, 스포츠 및 여가관련 서비스업(90~91)",599.0,1541.0,545.0,111.0,515.0,348.0,22.0
39942,11190R,영등포구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1139.0,4149.0,1007.0,168.0,2068.0,755.0,151.0
41946,11200R,동작구,"예술, 스포츠 및 여가관련 서비스업(90~91)",791.0,2761.0,730.0,167.0,784.0,866.0,214.0
43950,11210R,관악구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1042.0,3133.0,956.0,203.0,1021.0,849.0,104.0
45954,11220R,서초구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1321.0,6478.0,1078.0,138.0,3580.0,1032.0,650.0
47958,11230R,강남구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1778.0,9179.0,1385.0,180.0,5262.0,1716.0,636.0
49962,11240R,송파구,"예술, 스포츠 및 여가관련 서비스업(90~91)",1641.0,9397.0,1445.0,313.0,4147.0,3230.0,262.0
51966,11250R,강동구,"예술, 스포츠 및 여가관련 서비스업(90~91)",939.0,2905.0,889.0,176.0,811.0,823.0,206.0
1866,11R,서울특별시,"예술, 스포츠 및 여가관련 서비스업(90~91)",23025.0,91104.0,20202.0,3923.0,40733.0,21656.0,4590.0
3870,21010R,중구,"예술, 스포츠 및 여가관련 서비스업(90~91)",294.0,877.0,265.0,52.0,282.0,276.0,2.0
5874,21020R,서구,"예술, 스포츠 및 여가관련 서비스업(90~91)",167.0,624.0,136.0,25.0,289.0,133.0,41.0
7878,21030R,동구,"예술, 스포츠 및 여가관련 서비스업(90~91)",177.0,630.0,147.0,31.0,311.0,95.0,46.0
9882,21040R,영도구,"예술, 스포츠 및 여가관련 서비스업(90~91)",180.0,533.0,157.0,64.0,178.0,134.0,0.0
11886,21050R,부산진구,"예술, 스포츠 및 여가관련 서비스업(90~91)",782.0,2950.0,709.0,170.0,1193.0,767.0,111.0
13890,21060R,동래구,"예술, 스포츠 및 여가관련 서비스업(90~91)",635.0,1950.0,593.0,151.0,636.0,410.0,160.0
